tripnumber,purchasenumber,departmentnumber,timebetween,price
7.0,6.0,12.0,0.3944026880883994,-0.5723582481986139
7.0,7.0,12.0,-0.3720782162972016,0.4894325910779176
7.0,8.0,12.0,-0.5031867920473703,0.4487149482738028
7.0,9.0,12.0,-0.4023340414703175,0.3234298934919111
7.0,10.0,1.0,-0.19054326525850665,-0.8135319786537554
7.0,11.0,1.0,-0.4527604167588438,-0.8605138741969647
7.0,12.0,9.0,-0.3821634913549069,-0.7320966930455257
7.0,13.0,2.0,1.3121627183395794,3.7531082681461942
8.0,1.0,14.0,-0.2712254657201489,-1.1392731210866736
8.0,2.0,7.0,-0.1602874400853908,-1.0609699618479913
8.0,3.0,13.0,0.4549143384346311,-0.8260604841319446
8.0,4.0,13.0,-0.3821634913549069,-0.8793066324142484
8.0,5.0,13.0,-0.3619929412394963,-1.1048197310216534
9.0,1.0,10.0,-0.4729309668742544,-0.06495377633195289
9.0,2.0,10.0,-0.5132720671050756,0.18248420686228323
9.0,3.0,10.0,-0.3821634913549069,0.6335104040770929
9.0,4.0,10.0,-0.4527604167588438,-0.17144607289656072
9.0,5.0,10.0,-0.4527604167588438,0.21693759692730324
9.0,6.0,10.0,-0.3418223911240858,0.23259822877503963
9.0,7.0,10.0,-0.5536131673358966,-0.6256043964809179
9.0,8.0,10.0,-0.4124193165280227,0.11984167947133736
9.0,9.0,10.0,-0.5132720671050756,-0.9200242752183633
9.0,10.0,14.0,0.06158861118412528,0.7525312061198899
9.0,11.0,18.0,0.9894339164930107,-0.3061275067870943
9.0,12.0,1.0,0.10192971141494639,-0.9795346762397618
9.0,13.0,1.0,-0.7250628433168863,-0.8699102533056066
9.0,14.0,7.0,-0.7250628433168863,-0.3437130232216618
9.0,15.0,15.0,-0.0796052396237486,0.025877888384918557
9.0,16.0,15.0,-0.5838689925090125,-0.7195681875673365
9.0,17.0,15.0,-0.7048922932014757,-0.9513455389138361
9.0,18.0,8.0,0.6868756647618525,-0.3092596331566415
9.0,19.0,6.0,-0.2913960158355594,-0.691379050241411
9.0,20.0,6.0,-0.6443806428552441,-1.035912950891613
9.0,21.0,6.0,-0.5737837174513072,-0.7508894512628095
9.0,22.0,6.0,-0.6242100927398335,-1.1079518573912006
9.0,23.0,6.0,-0.6040395426244229,-0.66945416565458
9.0,24.0,6.0,-0.6242100927398335,-0.7383609457846203
9.0,25.0,17.0,-0.5132720671050756,0.2075412178186613
9.0,26.0,17.0,-0.5536131673358966,-0.2998632540479997
9.0,27.0,17.0,-0.5737837174513072,0.18248420686228323
9.0,28.0,3.0,-0.4628456918165491,-0.0586895235928583
10.0,1.0,18.0,2.532481000321918,-0.8135319786537554
10.0,2.0,13.0,1.9677055970904225,-0.8448532423492282
10.0,3.0,13.0,-0.4124193165280227,-0.29046687493935774
10.0,4.0,15.0,0.04141806106871473,-0.4721302043731006
10.0,5.0,8.0,0.7978136903966105,-0.5880188800463504
10.0,6.0,8.0,-0.5233573421627807,-0.2215600948093174
10.0,7.0,8.0,-0.5536131673358966,0.11044530036269541
10.0,8.0,6.0,-0.4426751417011386,-0.8511174950883228
10.0,9.0,6.0,-0.2510549156047383,-0.691379050241411
10.0,10.0,6.0,0.17252663681888333,-0.6224722701113706
10.0,11.0,17.0,-0.22079909043162246,0.8997411454886125
10.0,12.0,4.0,0.596108189242505,0.04153852023265495
10.0,13.0,2.0,4.277233585304931,2.2653482426112315
10.0,14.0,2.0,-0.422504591585728,1.8675681936787252
10.0,15.0,11.0,0.2632941123382308,-0.20589946296158088
10.0,16.0,11.0,-0.6847217430860653,-0.2591456112438849
10.0,17.0,11.0,-0.7553186684900022,1.7266225070490975
10.0,18.0,5.0,-0.714977568259181,0.15116294316681014
10.0,19.0,5.0,-0.3821634913549069,-0.12133205098380416
10.0,20.0,5.0,-0.5636984423936019,0.003953003798087574
10.0,21.0,5.0,-0.6544659179129494,-0.3092596331566415
10.0,22.0,5.0,-0.5737837174513072,0.09478466851495901
10.0,23.0,5.0,-0.5132720671050756,0.22006972329685048
10.0,24.0,5.0,-0.3619929412394963,-0.4846587098512898
11.0,1.0,10.0,-0.3720782162972016,0.5270181075124851
11.0,2.0,14.0,-0.00900831421981166,1.7172261279404557
11.0,3.0,13.0,1.402930193858927,-0.788474967697377
11.0,4.0,6.0,0.5860229141847997,-0.9983274344570455
11.0,5.0,17.0,-0.14011688996998026,0.4393185691651609
11.0,6.0,4.0,-0.22079909043162246,-0.3061275067870943
11.0,7.0,16.0,0.8482400656851369,0.2952407561659855
11.0,8.0,16.0,0.5658523640693891,0.7556633324894372
